# run_id=0x2509059C,profile_id=0x1405,algorithm_id=0x0015,out_sha256=AEF6083F6E08BC65689F86F7F67FF6DCDB3D6409C8219F5C1FA7C1FAAF0A09AA
# data_checksum=0x6c75b0c2,count=480,overflow=0
# scope=supplemental_monotonic_16_level_map,scheduled_cr_not_independently_measured=true
bin,t_end_ms_nominal,t_end_target_ticks,scheduled_cr_ohm,raw_min,raw_max,raw_avg,vout_avg_v,cycle_sum,packet_sum,tick_delta,demand_index
236,23700,1185000,13,1224,1262,1247,10.023673,6552,49,5000,21745
237,23800,1190062,13,1231,1261,1250,10.047941,6597,49,5062,22043
238,23900,1195069,13,1228,1262,1248,10.031763,6563,49,5007,21812
239,24000,1200059,13,1240,1262,1250,10.047941,6546,49,4990,21745
240,24100,1205060,12,1222,1262,1247,10.023673,6559,49,5001,21745
241,24200,1210000,12,1228,1264,1248,10.031763,6436,48,4940,21507
242,24300,1215000,12,1229,1263,1251,10.056031,6536,49,5000,21679
243,24400,1220000,12,1225,1263,1249,10.039852,6551,49,5000,21745
244,24500,1225000,12,1230,1263,1248,10.031763,6561,49,5000,21812
245,24600,1230026,12,1223,1261,1248,10.031763,6569,49,5026,21976
246,24700,1235000,12,1222,1261,1246,10.015584,6531,49,4974,21679
247,24800,1240000,12,1223,1263,1247,10.023673,6578,49,5000,21976
248,24900,1245000,12,1223,1263,1250,10.047941,6537,49,5000,21679
249,25000,1250000,12,1219,1258,1245,10.007495,6552,49,5000,21745
250,25100,1255043,12,1220,1262,1246,10.015584,6682,50,5043,22211
251,25200,1260046,12,1232,1262,1251,10.056031,6552,49,5003,21745
252,25300,1265047,12,1224,1262,1252,10.064120,6552,49,5001,21745
253,25400,1270010,12,1227,1262,1249,10.039852,6532,49,4963,21679
254,25500,1275030,12,1221,1262,1245,10.007495,6564,49,5020,21812
255,25600,1280000,12,1226,1259,1247,10.023673,6535,49,4970,21679
256,25700,1285060,12,1223,1262,1248,10.031763,6687,50,5060,22211
257,25800,1290000,12,1216,1261,1243,9.991316,6428,48,4940,21346
258,25900,1295067,12,1227,1262,1253,10.072209,6684,50,5067,22211
259,26000,1300000,12,1222,1262,1246,10.015584,6426,48,4933,21346
260,26100,1305047,12,1224,1261,1249,10.039852,6674,50,5047,22144
261,26200,1310046,12,1223,1262,1250,10.047941,6553,49,4999,21745
262,26300,1315045,12,1225,1261,1250,10.047941,6553,49,4999,21745
263,26400,1320052,12,1216,1262,1246,10.015584,6564,49,5007,21812
264,26500,1325028,12,1222,1264,1245,10.007495,6460,48,4976,21641
265,26600,1330044,12,1221,1263,1248,10.031763,6556,49,5016,21745
266,26700,1335060,12,1224,1262,1247,10.023673,6567,49,5016,21976
267,26800,1340049,12,1215,1264,1249,10.039852,6545,49,4989,21745
268,26900,1345027,12,1223,1263,1250,10.047941,6546,49,4978,21745
269,27000,1350045,12,1225,1262,1248,10.031763,6554,49,5018,21745
270,27100,1355006,11,1228,1260,1251,10.056031,6541,49,4961,21745
271,27200,1360000,11,1226,1264,1250,10.047941,6455,48,4994,21574
272,27300,1365000,11,1224,1263,1248,10.031763,6560,49,5000,21812
273,27400,1370000,11,1230,1261,1247,10.023673,6548,49,5000,21745
274,27500,1375000,11,1219,1262,1248,10.031763,6553,49,5000,21745
275,27600,1380000,11,1223,1262,1249,10.039852,6562,49,5000,21812
276,27700,1385000,11,1224,1262,1245,10.007495,6545,49,5000,21745
277,27800,1390026,11,1215,1262,1245,10.007495,6570,49,5026,21976
278,27900,1395023,11,1221,1263,1249,10.039852,6557,49,4997,21745
279,28000,1400033,11,1224,1262,1246,10.015584,6564,49,5010,21812
280,28100,1405000,11,1222,1262,1248,10.031763,6443,48,4967,21574
281,28200,1410021,11,1229,1263,1250,10.047941,6577,49,5021,21976
282,28300,1415038,11,1224,1263,1247,10.023673,6560,49,5017,21812
283,28400,1420070,11,1214,1262,1248,10.031763,6572,49,5032,21976
284,28500,1425050,11,1224,1262,1246,10.015584,6536,49,4980,21679
285,28600,1430008,11,1223,1264,1249,10.039852,6533,49,4958,21679
286,28700,1435000,11,1225,1262,1246,10.015584,6543,49,4992,21745
287,28800,1440022,11,1221,1261,1247,10.023673,6655,50,5022,22078
288,28900,1445000,11,1225,1261,1248,10.031763,6540,49,4978,21745
289,29000,1450000,11,1231,1264,1251,10.056031,6556,49,5000,21745
290,29100,1455000,11,1223,1262,1248,10.031763,6560,49,5000,21812
291,29200,1460066,11,1221,1263,1249,10.039852,6583,49,5066,22043
292,29300,1465000,11,1224,1263,1247,10.023673,6425,48,4934,21346
293,29400,1470049,11,1224,1261,1250,10.047941,6678,50,5049,22144
294,29500,1475024,11,1225,1259,1243,9.991316,6541,49,4975,21745
295,29600,1480044,11,1218,1263,1246,10.015584,6568,49,5020,21976
296,29700,1485015,11,1225,1262,1251,10.056031,6544,49,4971,21745
297,29800,1490000,11,1227,1261,1249,10.039852,6536,49,4985,21679
298,29900,1495021,11,1221,1265,1249,10.039852,6573,49,5021,21976
299,30000,1500000,11,1224,1263,1252,10.064120,6542,49,4979,21745
300,30100,1505047,10,1225,1260,1248,10.031763,6674,50,5047,22144
301,30200,1510018,10,1224,1263,1249,10.039852,6535,49,4971,21679
302,30300,1515049,10,1226,1261,1250,10.047941,6577,49,5031,21976
303,30400,1520066,10,1226,1263,1248,10.031763,6565,49,5017,21812
304,30500,1525038,10,1222,1262,1247,10.023673,6449,48,4972,21574
305,30600,1530025,10,1225,1260,1248,10.031763,6541,49,4987,21745
306,30700,1535000,10,1223,1262,1245,10.007495,6537,49,4975,21679
307,30800,1540000,10,1224,1262,1247,10.023673,6551,49,5000,21745
308,30900,1545000,10,1227,1265,1250,10.047941,6566,49,5000,21976
309,31000,1550067,10,1217,1257,1245,10.007495,6682,50,5067,22211
310,31100,1555000,10,1223,1261,1247,10.023673,6434,48,4933,21507
311,31200,1560000,10,1221,1263,1245,10.007495,6560,49,5000,21812
312,31300,1565001,10,1238,1263,1252,10.064120,6557,49,5001,21745
313,31400,1570067,10,1219,1260,1243,9.991316,6665,50,5066,22144
314,31500,1575000,10,1221,1262,1247,10.023673,6415,48,4933,21280
315,31600,1580067,10,1215,1262,1251,10.056031,6692,50,5067,22211
316,31700,1585044,10,1232,1263,1251,10.056031,6540,49,4977,21745
317,31800,1590021,10,1222,1262,1248,10.031763,6546,49,4977,21745
318,31900,1595044,10,1228,1262,1250,10.047941,6563,49,5023,21812
319,32000,1600010,10,1224,1257,1245,10.007495,6458,48,4966,21574
320,32100,1605000,10,1228,1263,1249,10.039852,6552,49,4990,21745
321,32200,1610000,10,1222,1261,1247,10.023673,6545,49,5000,21745
322,32300,1615000,10,1218,1263,1245,10.007495,6547,49,5000,21745
323,32400,1620000,10,1224,1262,1248,10.031763,6556,49,5000,21745
324,32500,1625033,10,1216,1263,1246,10.015584,6673,50,5033,22144
325,32600,1630020,10,1223,1261,1249,10.039852,6545,49,4987,21745
326,32700,1635057,10,1225,1261,1249,10.039852,6660,50,5037,22144
327,32800,1640067,10,1224,1262,1246,10.015584,6559,49,5010,21745
328,32900,1645023,10,1221,1263,1247,10.023673,6526,49,4956,21679
329,33000,1650000,10,1222,1263,1243,9.991316,6525,49,4977,21679
330,33100,1655042,9,1220,1262,1245,10.007495,6673,50,5042,22144
331,33200,1660060,9,1223,1262,1250,10.047941,6569,49,5018,21976
332,33300,1665042,9,1221,1262,1246,10.015584,6464,48,4982,21641
333,33400,1670015,9,1233,1262,1251,10.056031,6552,49,4973,21745
334,33500,1675002,9,1221,1262,1248,10.031763,6555,49,4987,21745
335,33600,1680054,9,1227,1262,1247,10.023673,6657,50,5052,22078
336,33700,1685000,9,1224,1262,1245,10.007495,6428,48,4946,21346
337,33800,1690034,9,1224,1261,1248,10.031763,6654,50,5034,22078
338,33900,1695018,9,1225,1263,1248,10.031763,6542,49,4984,21745
339,34000,1700036,9,1223,1261,1247,10.023673,6560,49,5018,21812
340,34100,1705027,9,1229,1261,1251,10.056031,6552,49,4991,21745
341,34200,1710060,9,1233,1261,1247,10.023673,6657,50,5033,22078
342,34300,1715051,9,1223,1262,1248,10.031763,6550,49,4991,21745
343,34400,1720000,9,1233,1263,1251,10.056031,6444,48,4949,21574
344,34500,1725000,9,1216,1262,1246,10.015584,6552,49,5000,21745
345,34600,1730067,9,1223,1261,1250,10.047941,6669,50,5067,22144
346,34700,1735000,9,1221,1261,1244,9.999405,6505,49,4933,21450
347,34800,1740058,9,1224,1262,1248,10.031763,6678,50,5058,22144
348,34900,1745000,9,1224,1260,1245,10.007495,6429,48,4942,21346
349,35000,1750000,9,1231,1263,1251,10.056031,6571,49,5000,21976
350,35100,1755023,9,1218,1262,1247,10.023673,6654,50,5023,22078
351,35200,1760000,9,1217,1263,1246,10.015584,6530,49,4977,21679
352,35300,1765059,9,1231,1262,1249,10.039852,6679,50,5059,22144
353,35400,1770000,9,1223,1263,1246,10.015584,6430,48,4941,21346
354,35500,1775034,9,1224,1262,1247,10.023673,6666,50,5034,22144
355,35600,1780000,9,1221,1261,1245,10.007495,6539,49,4966,21679
356,35700,1785000,9,1222,1262,1247,10.023673,6543,49,5000,21745
357,35800,1790066,9,1219,1262,1249,10.039852,6671,50,5066,22144
358,35900,1795048,9,1220,1261,1245,10.007495,6545,49,4982,21745
359,36000,1800000,9,1234,1263,1250,10.047941,6522,49,4952,21679
360,36100,1805000,8,1222,1262,1248,10.031763,6554,49,5000,21745
361,36200,1810008,8,1226,1262,1252,10.064120,6642,50,5008,21912
362,36300,1815014,8,1222,1260,1247,10.023673,6548,49,5006,21745
