Vin,Pout,freq_hz,gain_M,vout,I_p_rms,I_s_rms,I_diode_avg,I_diode_rms,Q
30.0,25.0,40000.0,1.1197176091002725,12.73661130920327,8.114714201548932,10.143392751936165,0.981422742403052,2.1801731786715566,0.14551126668808761
30.0,25.0,45000.0,1.0467748052784065,11.861297663340878,6.9730192876206525,8.716274109525816,1.0538475936434113,2.3410607466087816,0.14551126668808761
30.0,25.0,50000.0,0.9992974950724008,11.291569940868811,6.20433933188338,7.755424164854226,1.107020552984168,2.4591813635219997,0.14551126668808761
30.0,25.0,60000.0,0.9417827551457293,10.601393061748752,5.240063643716976,6.55007955464622,1.1790903258838386,2.619280145708447,0.14551126668808761
30.0,25.0,70000.0,0.908221532229133,10.198658386749598,4.664877869672799,5.831097337090999,1.2256514068792004,2.722712861876698,0.14551126668808761
30.0,25.0,80000.0,0.8858355536645753,9.930026643974905,4.286106033084637,5.3576325413557955,1.2588083041634575,2.7963689684899458,0.14551126668808761
30.0,25.0,100000.0,0.8561288966173861,9.573546759408634,3.8208515547967297,4.776064443495912,1.305681197798018,2.9004943581854965,0.14551126668808761
30.0,25.0,120000.0,0.8348938058881484,9.318725670657782,3.544152804526514,4.430191005658142,1.3413851251528108,2.9798085430204235,0.14551126668808761
30.0,25.0,140000.0,0.8168053897634036,9.101664677160842,3.3554873122050775,4.1943591402563465,1.3733751399748588,3.050872488542579,0.14551126668808761
30.0,25.0,150000.0,0.8082647602632381,8.999177123158859,3.2799822483397985,4.099977810424748,1.3890158876673266,3.085617494074031,0.14551126668808761
30.0,25.0,170000.0,0.7915808431156982,8.798970117388379,3.152101229637762,3.9401265370472025,1.4206208037117556,3.155825965201892,0.14551126668808761
30.0,25.0,200000.0,0.7667736340779098,8.50128360893492,2.995357345491011,3.744196681863764,1.470366191155227,3.26633243176423,0.14551126668808761
30.0,25.0,250000.0,0.7250836830385419,8.001004196462503,2.780144375700243,3.4751804696253035,1.5623038924947252,3.4705666540916082,0.14551126668808761
30.0,50.0,35000.0,1.2126746613434114,13.85209593612094,12.457267285723525,15.571584107154406,1.8047810320754143,4.009215427259852,0.29102253337617523
30.0,50.0,40000.0,1.1109399660617938,12.631279592741528,10.750542741785896,13.43817842723237,1.9792135718669441,4.396707104709561,0.29102253337617523
30.0,50.0,45000.0,1.0452097869060717,11.842517442872861,9.664547386492167,12.080684233115209,2.1110376337292758,4.689546542353004,0.29102253337617523
30.0,50.0,50000.0,0.9992970870080368,11.291565044096442,8.91960508209521,11.149506352619012,2.214042066123573,4.91836485997266,0.29102253337617523
30.0,50.0,60000.0,0.9381655569131298,10.557986682957557,7.965089850215756,9.956362312769695,2.367875689818248,5.260097250986732,0.29102253337617523
30.0,50.0,70000.0,0.8971165786159635,10.065398943391564,7.370821336001834,9.213526670002292,2.4837564949587763,5.517519676996185,0.29102253337617523
30.0,50.0,80000.0,0.8654053106265565,9.684863727518678,6.952083293585486,8.690104116981857,2.581347626912367,5.734312664532271,0.29102253337617523
30.0,50.0,100000.0,0.8142969113975871,9.071562936771045,6.362008620441362,7.952510775551702,2.7558646921429575,6.1219921102975015,0.29102253337617523
30.0,50.0,120000.0,0.7701968294656459,8.54236195358775,5.923192569831236,7.403990712289045,2.9265910454075432,6.501250711304114,0.29102253337617523
30.0,50.0,140000.0,0.7293851968186622,8.052622361823948,5.554809485027587,6.943511856284483,3.1045787169308423,6.896639905810815,0.29102253337617523
30.0,50.0,150000.0,0.7098734107053339,7.818480928464006,5.387146764143941,6.733933455179926,3.197552085723565,7.103174802766962,0.29102253337617523
30.0,50.0,170000.0,0.6724772543140461,7.369727051768554,5.076198480619639,6.3452481007745485,3.392255890128334,7.5356979080591975,0.29102253337617523
30.0,50.0,200000.0,0.620442669533467,6.745312034401604,4.658844764223958,5.823555955279947,3.706277763355957,8.233279119444965,0.29102253337617523
30.0,50.0,250000.0,0.5446319749621877,5.835583699546253,4.0692699445726,5.08658743071575,4.284061593006348,9.516792078793728,0.29102253337617523
30.0,75.0,35000.0,1.1659377727135092,13.29125327256211,15.38261732174292,19.22827165217865,2.8214043650355665,6.267584657531027,0.43653380006426284
30.0,75.0,40000.0,1.096758381861636,12.461100582339633,13.967330698403698,17.45916337300462,3.009365003693694,6.6851282148008,0.43653380006426284
30.0,75.0,45000.0,1.0426169496629534,11.811403395955441,12.94008814065472,16.1751101758184,3.174897913726413,7.052849885644836,0.43653380006426284
30.0,75.0,50000.0,0.9992964069018739,11.291556882822489,12.165597103604053,15.206996379505068,3.321065499572308,7.377552622278098,0.43653380006426284
30.0,75.0,60000.0,0.9322284197462933,10.486741036955522,11.054679796893184,13.81834974611648,3.5759441248572,7.943750570067851,0.43653380006426284
30.0,75.0,70000.0,0.8794804243072537,9.853765091687045,10.258060691933402,12.822575864916752,3.8056519158992552,8.454032982859248,0.43653380006426284
30.0,75.0,80000.0,0.8342865534629029,9.311438641554837,9.624111121068948,12.030138901336185,4.0273046350373845,8.94642152488685,0.43653380006426284
30.0,75.0,100000.0,0.7564165560470341,8.37699867256441,8.610535922605163,10.763169903256454,4.4765436244864905,9.94437964557632,0.43653380006426284
30.0,75.0,120000.0,0.6893549964825846,7.572259957791014,7.78948534065218,9.736856675815226,4.952286399176862,11.001214373888306,0.43653380006426284
30.0,75.0,140000.0,0.63064248555517,6.867709826662041,7.094053726493935,8.867567158117419,5.460335533457793,12.129815789109744,0.43653380006426284
30.0,75.0,150000.0,0.6040492995439611,6.548591594527534,6.783935542331573,8.479919427914467,5.726422156382092,12.720911647641016,0.43653380006426284
30.0,75.0,170000.0,0.5558211221181211,5.969853465417452,6.2271530446611605,7.783941305826451,6.281561217077169,13.954120578174727,0.43653380006426284
30.0,75.0,200000.0,0.4943125959379359,5.231751151255231,5.5248707976423335,6.906088497052917,7.167772112211949,15.92278621097691,0.43653380006426284
30.0,75.0,250000.0,0.41451473084609436,4.274176770153132,4.622604316044904,5.77825539505613,8.773619346271557,19.49008184972303,0.43653380006426284
30.0,100.0,35000.0,1.108742035131011,12.604904421572133,18.21912479038949,22.77390598798686,3.9667099668308157,8.811814016127684,0.5820450667523505
30.0,100.0,40000.0,1.0777865840037708,12.23343900804525,17.316422750579903,21.64552843822488,4.087158154556359,9.079382615216641,0.5820450667523505
30.0,100.0,45000.0,1.0390191819107382,11.768230182928859,16.428054348853042,20.5350679360663,4.248727227695684,9.438298854409025,0.5820450667523505
30.0,100.0,50000.0,0.9992954547555795,11.291545457066954,15.614762155026161,19.518452693782702,4.4280918134821725,9.836746783359342,0.5820450667523505
30.0,100.0,60000.0,0.9241026549812968,10.389231859775563,14.213608185180627,17.767010231475783,4.812675342590741,10.691076583245936,0.5820450667523505
30.0,100.0,70000.0,0.8564503639262628,9.577404367115156,13.045010032403253,16.306262540504065,5.220621170771416,11.597304363104337,0.5820450667523505
30.0,100.0,80000.0,0.7958685227875818,8.850422273450981,12.04440557671106,15.055506970888825,5.6494479534594975,12.549917961219448,0.5820450667523505
30.0,100.0,100000.0,0.6928381694451085,7.6140580333413,10.404911321140991,13.00613915142624,6.566800486817192,14.587762920585075,0.5820450667523505
30.0,100.0,120000.0,0.6096736938541232,6.616084326249478,9.117365334738892,11.396706668423615,7.557340193144722,16.788188900990566,0.5820450667523505
30.0,100.0,140000.0,0.5420883667136867,5.80506040056424,8.085896871270092,10.107371089087616,8.613174807817694,19.133663698514347,0.5820450667523505
30.0,100.0,150000.0,0.5130318605121233,5.45638232614548,7.645458272614809,9.556822840768511,9.163580741110055,20.356358263557226,0.5820450667523505
30.0,100.0,170000.0,0.462607557938516,4.8512906952621915,6.884516710484198,8.605645888105247,10.306535547092734,22.895365466850503,0.5820450667523505
30.0,100.0,200000.0,0.4020854582936571,4.125025499523885,5.975767158263115,7.469708947828893,12.121137191944886,26.92639681058437,0.5820450667523505
